id,points,category,sub-category,language,role,person,ide_type,prompt_type,shot_type,is_test,test_type,epoch,confidence_percent,scenario,github_org,reference,data_source
25,40,programming,calculator,python,app-dev,devia delta,vs_code,chat,multiple,TRUE,na,0,10,create basic calculator in python with vscode,ms-mfg-community,project-gengo\programming\python\workspace\src\calculator-python-vs2022.md,pfs-sql-01.postgres.database.azure.com
26,40,programming,calculator,python,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using pytest with python in vscode,ms-mfg-community,project-gengo\programming\python\workspace\src\calculator-python-vs2022.md,pfs-sql-01.postgres.database.azure.com
27,40,programming,calculator,python,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,na,0,10,create basic calculator in python with pycharm,ms-mfg-community,project-gengo\programming\python\workspace\src\calculator-python-pycharm.md,pfs-sql-01.postgres.database.azure.com
28,40,programming,calculator,python,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using pytest with python in pycharm,ms-mfg-community,project-gengo\programming\python\workspace\src\calculator-python-pycharm.md,pfs-sql-01.postgres.database.azure.com
29,40,programming,calculator,go,app-dev,devia delta,visual_studio,chat,multiple,TRUE,na,0,10,create basic calculator in go with vs2022,ms-mfg-community,project-gengo\programming\go\workspace\src\calculator-go-vs2022.md,pfs-sql-01.postgres.database.azure.com
30,40,programming,calculator,go,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using testify with go in vs2022,ms-mfg-community,project-gengo\programming\go\workspace\src\calculator-go-vs2022.md,pfs-sql-01.postgres.database.azure.com
31,40,programming,calculator,go,app-dev,devia delta,vs_code,chat,multiple,TRUE,na,0,10,create basic calculator in go with vs2022,ms-mfg-community,project-gengo\programming\go\workspace\src\calculator-go-vs2022.md,pfs-sql-01.postgres.database.azure.com
32,40,programming,calculator,go,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using testify with go in vs2022,ms-mfg-community,project-gengo\programming\go\workspace\src\calculator-go-vs2022.md,pfs-sql-01.postgres.database.azure.com
33,40,programming,calculator,go,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,na,0,10,create basic calculator in go with goland,ms-mfg-community,project-gengo\programming\go\workspace\src\calculator-go-goland.md,pfs-sql-01.postgres.database.azure.com
34,40,programming,calculator,go,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using testify with go in goland,ms-mfg-community,project-gengo\programming\go\workspace\src\calculator-go-goland.md,pfs-sql-01.postgres.database.azure.com
35,40,programming,calculator,node,app-dev,devia delta,visual_studio,chat,multiple,TRUE,na,0,10,create basic calculator in node with vs2022,ms-mfg-community,project-gengo\programming\node\workspace\src\calculator-node-vs2022.md,pfs-sql-01.postgres.database.azure.com
36,40,programming,calculator,node,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using jest with node in vs2022,ms-mfg-community,project-gengo\programming\node\workspace\src\calculator-node-vs2022.md,pfs-sql-01.postgres.database.azure.com
37,40,programming,calculator,node,app-dev,devia delta,vs_code,chat,multiple,TRUE,na,0,10,create basic calculator in node with vscode,ms-mfg-community,project-gengo\programming\node\workspace\src\calculator-node-vs2022.md,pfs-sql-01.postgres.database.azure.com
38,40,programming,calculator,node,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using jest with node in vscode,ms-mfg-community,project-gengo\programming\node\workspace\src\calculator-node-vs2022.md,pfs-sql-01.postgres.database.azure.com
39,40,programming,calculator,node,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,na,0,10,create basic calculator in node with webstorm,ms-mfg-community,project-gengo\programming\node\workspace\src\calculator-node-webstorm.md,pfs-sql-01.postgres.database.azure.com
40,40,programming,calculator,node,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using jest with node in webstorm,ms-mfg-community,project-gengo\programming\node\workspace\src\calculator-node-webstorm.md,pfs-sql-01.postgres.database.azure.com
41,13,programming,converter,c ,app-dev,devia delta,vs_code,chat,one,FALSE,na,0,10,convert fahrenheit to celcius in c with vscode,ms-mfg-community,project-gengo\programming\c\workspace\src\temp-converter-c-vscode.md,pfs-sql-01.postgres.database.azure.com
42,13,programming,converter,c ,app-dev,devia delta,vs_code,chat,one,TRUE,unit,0,10,add test cases with unity for the conversion of fahrenheit to celcius in c with vscode,ms-mfg-community,project-gengo\programming\c\workspace\src\temp-converter-c-vscode.md,pfs-sql-01.postgres.database.azure.com
43,13,programming,converter,c ,app-dev,devia delta,visual_studio,chat,one,FALSE,na,0,10,convert fahrenheit to celcius in c with vs2022,ms-mfg-community,\project-gengo\programming\c\workspace\src\temp-converter-c-vs2022.md,pfs-sql-01.postgres.database.azure.com
44,13,programming,converter,c ,app-dev,devia delta,visual_studio,chat,one,TRUE,unit,0,10,add test cases with unity for the conversion of fahrenheit to celcius in c with vs2022,ms-mfg-community,\project-gengo\programming\c\workspace\src\temp-converter-c-vs2022.md,pfs-sql-01.postgres.database.azure.com
45,13,programming,converter,c ,app-dev,devia delta,jetbrains_suite,chat,one,FALSE,na,0,10,convert fahrenheit to celcius in c with clion,ms-mfg-community,project-gengo\programming\c\workspace\src\temp-converter-c-clion.md,pfs-sql-01.postgres.database.azure.com
46,13,programming,converter,c ,app-dev,devia delta,jetbrains_suite,chat,one,TRUE,unit,0,10,add test cases with unity for the conversion of fahrenheit to celcius in c with clion,ms-mfg-community,project-gengo\programming\c\workspace\src\temp-converter-c-clion.md,pfs-sql-01.postgres.database.azure.com
47,100,programming,inventory,cpp,app-dev,devia delta,vs_code,chat,multiple,FALSE,na,0,10,create an inventory manager in cpp using vscode,ms-mfg-community,project-gengo\programming\cpp\workspace\src\inventory-cpp-vscode.md,pfs-sql-01.postgres.database.azure.com
48,100,programming,inventory,cpp,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create unit tests for the inventory manager in cpp using vscode with google test,ms-mfg-community,project-gengo\programming\cpp\workspace\src\inventory-cpp-vscode.md,pfs-sql-01.postgres.database.azure.com
49,100,programming,inventory,cpp,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,0,10,create an inventory manager in cpp using visual studio,ms-mfg-community,project-gengo\programming\cpp\workspace\src\inventory-cpp-vs2022.md,pfs-sql-01.postgres.database.azure.com
50,100,programming,inventory,cpp,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create unit tests for the inventory manager in cpp using visual studio with google test,ms-mfg-community,project-gengo\programming\cpp\workspace\src\inventory-cpp-vs2022.md,pfs-sql-01.postgres.database.azure.com
51,100,programming,inventory,cpp,app-dev,devia delta,jetbrains_suite,chat,multiple,FALSE,na,0,10,create an inventory manager in cpp using clion,ms-mfg-community,project-gengo\programming\cpp\workspace\src\inventory-cpp-vs2022.md,pfs-sql-01.postgres.database.azure.com
52,100,programming,inventory,cpp,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,0,10,create unit tests for the inventory manager in cpp using clion with google test,ms-mfg-community,project-gengo\programming\cpp\workspace\src\inventory-cpp-clion.md,pfs-sql-01.postgres.database.azure.com
53,40,programming,game,python,app-dev,devia delta,vs_code,chat,multiple,FALSE,unit,0,10,create a rock-paper-scissors game with python + unit tests [p05],ms-mfg-community,C:\onedrive-prsn\OneDrive\02.00.00.GENERAL\repos\git\project-gengo\programming\python\prompts.txt,pfs-sql-01.postgres.database.azure.com
54,20,gitops,github,yaml,app-dev,devia delta,vs_code,chat,multiple,FALSE,unit,1,80,create a simple github actions workflow and add a second job,ms-mfg-community,C:\onedrive-prsn\OneDrive\02.00.00.GENERAL\repos\git\project-gengo\gitops\01-level-workflow.md,pfs-sql-01.postgres.database.azure.com
55,20,gitops,github,yaml,app-dev,devia delta,visual_studio,chat,multiple,FALSE,unit,1,80,create a simple github actions workflow and add a second job,ms-mfg-community,C:\onedrive-prsn\OneDrive\02.00.00.GENERAL\repos\git\project-gengo\gitops\01-level-workflow.md,pfs-sql-01.postgres.database.azure.com
56,20,gitops,github,yaml,app-dev,devia delta,jetbrains_suite,chat,multiple,FALSE,unit,1,80,create a simple github actions workflow and add a second job,ms-mfg-community,C:\onedrive-prsn\OneDrive\02.00.00.GENERAL\repos\git\project-gengo\gitops\01-level-workflow.md,pfs-sql-01.postgres.database.azure.com
57,40,programming,game,python,app-dev,devia delta,jetbrains_suite,chat,multiple,FALSE,unit,1,10,create a rock-paper-scissors game with python + unit tests [p05] using pycharm,ms-mfg-community,C:\onedrive-prsn\OneDrive\02.00.00.GENERAL\repos\git\project-gengo\programming\python\prompts.txt,pfs-sql-01.postgres.database.azure.com
58,40,databases,rdbms,mssql,dba,ophelia oscar,jetbrains_suite,chat,multiple,FALSE,na,1,10,query the azure sql database in azure with data grip,ms-mfg-community,C:\onedrive-prsn\OneDrive\02.00.00.GENERAL\repos\git\project-gengo\databases\rdbms\workspace\src\postgresql\prompts-postgres.txt,svr-asi-01.database.windows.net
59,100,programming,figma,typescript,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,0,10,create a front end based on a figma wireframe image,ms-mfg-community,C:\onedrive-prsn\OneDrive\02.00.00.GENERAL\repos\git\project-gengo\programming\typescript-html-css\prompts.txt,pfs-sql-01.postgres.database.azure.com
60,100,programming,demos,typescript,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,0,10,create a front end for data entry based on a postgresql schema using typescript node and react,ms-mfg-community,C:\onedrive-prsn\OneDrive\02.00.00.GENERAL\repos\git\project-gengo\programming\typescript-html-css\demo-catalog-ui.md,pfs-sql-01.postgres.database.azure.com
