id,points,category,sub-category,language,role,person,ide_type,prompt_type,shot_type,is_test,test_type,epoch,confidence_percent,scenario,github_org,reference,data_source,notes
13,40,programming,calculator,python,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using pytest with python in vs2022,ms-mfg-community,programming\python\workspace\src\calculator-python-vs2022.md,pfs-sql-01.postgres.database.azure.com,
14,40,programming,calculator,python,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using pytest with python in vscode,ms-mfg-community,programming\python\workspace\src\calculator-python-vs2022.md,pfs-sql-01.postgres.database.azure.com,
15,40,programming,calculator,python,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using pytest with python in pycharm,ms-mfg-community,programming\python\workspace\src\calculator-python-pycharm.md,pfs-sql-01.postgres.database.azure.com,
16,40,programming,calculator,go,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create basic statistic app with testing and refactor for external csv ingestion and display of results then refactor w/testify,ms-mfg-community,programming\go\workspace\src\calculator-go-vs2022.md,pfs-sql-01.postgres.database.azure.com,
17,40,programming,calculator,go,app-dev,devia delta,vs_code,chat,multiple,TRUE,na,0,80,create basic statistic app with testing and refactor for external csv ingestion and display of results then refactor w/testify,ms-mfg-community,programming\go\go-vscode-statistics.md,pfs-sql-01.postgres.database.azure.com,
18,40,programming,calculator,go,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,na,0,10,create basic statistic app with testing and refactor for external csv ingestion and display of results then refactor w/testify,ms-mfg-community,programming\go\workspace\src\calculator-go-goland.md,pfs-sql-01.postgres.database.azure.com,
19,40,programming,calculator,node,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using jest with node in vs2022,ms-mfg-community,programming\node\workspace\src\calculator-node-vs2022.md,pfs-sql-01.postgres.database.azure.com,
20,40,programming,calculator,node,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using jest with node in vscode,ms-mfg-community,programming\node\workspace\src\calculator-node-vs2022.md,pfs-sql-01.postgres.database.azure.com,
21,40,programming,calculator,node,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,0,10,create basic calculator test cases using jest with node in webstorm,ms-mfg-community,programming\node\workspace\src\calculator-node-webstorm.md,pfs-sql-01.postgres.database.azure.com,
22,13,programming,converter,c ,app-dev,devia delta,vs_code,chat,one,TRUE,unit,0,10,create a console app to convert fahrenheit to celcius add test cases with unity in vscode,ms-mfg-community,programming\c\workspace\src\temp-converter-c-vscode.md,pfs-sql-01.postgres.database.azure.com,
23,13,programming,converter,c ,app-dev,devia delta,visual_studio,chat,one,TRUE,unit,0,10,create a console app to convert fahrenheit to celcius add test cases with unity in visual_studio_2022,ms-mfg-community,programming\c\workspace\src\temp-converter-c-vs2022.md,pfs-sql-01.postgres.database.azure.com,
24,13,programming,converter,c ,app-dev,devia delta,jetbrains_suite,chat,one,TRUE,na,0,10,create a console app to convert fahrenheit to celcius add test cases with unity in clion,ms-mfg-community,programming\c\workspace\src\temp-converter-c-clion.md,pfs-sql-01.postgres.database.azure.com,
25,100,programming,devices,cpp,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create a home thermostat in cpp using vscode with google test,ms-mfg-community,programming\cpp\workspace\src\inventory-cpp-vscode.md,pfs-sql-01.postgres.database.azure.com,
26,100,programming,devices,cpp,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,0,10,create a home thermostat cpp using visual studio with google test,ms-mfg-community,programming\cpp\workspace\src\inventory-cpp-vs2022.md,pfs-sql-01.postgres.database.azure.com,
27,100,programming,devices,cpp,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,0,10,create unit tests for the inventory manager in cpp using clion with google test,ms-mfg-community,programming\cpp\workspace\src\inventory-cpp-clion.md,pfs-sql-01.postgres.database.azure.com,
28,40,programming,game,python,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,0,10,create a rock-paper-scissors game with python + unit tests [p05],ms-mfg-community,programming\python\prompts.txt,pfs-sql-01.postgres.database.azure.com,
29,40,programming,game,python,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,1,10,create a rock-paper-scissors game with python + unit tests [p05] using pycharm,ms-mfg-community,programming\python\prompts.txt,pfs-sql-01.postgres.database.azure.com,
30,20,gitops,github,yaml,app-dev,devia delta,vs_code,chat,multiple,TRUE,unit,1,80,create a simple github actions workflow and add a second job,ms-mfg-community,gitops\01-level-workflow.md,pfs-sql-01.postgres.database.azure.com,
31,20,gitops,github,yaml,app-dev,devia delta,visual_studio,chat,multiple,TRUE,unit,1,80,create a simple github actions workflow and add a second job,ms-mfg-community,gitops\01-level-workflow.md,pfs-sql-01.postgres.database.azure.com,
32,20,gitops,github,yaml,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,unit,1,80,create a simple github actions workflow and add a second job,ms-mfg-community,gitops\01-level-workflow.md,pfs-sql-01.postgres.database.azure.com,
33,40,databases,rdbms,mssql,dba,ophelia oscar,jetbrains_suite,chat,multiple,FALSE,na,1,10,query the azure sql database in azure with data grip,ms-mfg-community,databases\rdbms\workspace\src\postgresql\prompts-postgres.txt,pfs-sql-01.postgres.database.azure.com,
34,100,programming,figma,typescript,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,0,10,create a front end based on a figma wireframe image,ms-mfg-community,programming\typescript-html-css\prompts.txt,pfs-sql-01.postgres.database.azure.com,
35,100,programming,demos,typescript,app-dev,devia delta,visual_studio,chat,multiple,TRUE,na,0,10,create a front end for data entry based on a postgresql schema using typescript node and react,ms-mfg-community,programming\typescript-html-css\demo-catalog-ui.md,pfs-sql-01.postgres.database.azure.com,
36,40,programming,documentation,python,app-dev,devia delta,vs_code,chat,multiple,FALSE,na,0,10,reverse engineer the solution from record id 14 to document the solution that can also be used for prompting,ms-mfg-community,programming\python\workspace\src\calculator-python-vs2022.md,pfs-sql-01.postgres.database.azure.com,
37,100,programming,survey,typescript,app-dev,devia delta,jetbrains_suite,chat,multiple,FALSE,na,0,10,create a survey template using webstorm for github copilot workshop,ms-mfg-community,programming\typescript-html-css\ghc-survey-typescript.md,pfs-sql-01.postgres.database.azure.com,
38,100,programming,survey,typescript,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,0,10,create a survey template using visual_studio for github copilot workshop,ms-mfg-community,programming\typescript-html-css\ghc-survey-typescript.md,pfs-sql-01.postgres.database.azure.com,
39,100,programming,survey,typescript,app-dev,devia delta,vs_code,chat,multiple,FALSE,na,0,10,create a survey template using vs_code for github copilot workshop,ms-mfg-community,programming\typescript-html-css\ghc-survey-typescript.md,pfs-sql-01.postgres.database.azure.com,
40,100,programming,survey,python,app-dev,devia delta,jetbrains_suite,chat,multiple,FALSE,na,0,10,create a survey template using pycharm for github copilot workshop,ms-mfg-community,programming\python\ghc-survey-python.md,pfs-sql-01.postgres.database.azure.com,
41,100,programming,survey,python,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,0,10,create a survey template using visual_studio for github copilot workshop,ms-mfg-community,programming\python\ghc-survey-python.md,pfs-sql-01.postgres.database.azure.com,
42,100,programming,survey,python,app-dev,devia delta,vs_code,chat,multiple,FALSE,na,0,10,create a survey template using vs_code for github copilot workshop,ms-mfg-community,programming\python\ghc-survey-python.md,pfs-sql-01.postgres.database.azure.com,
43,100,programming,survey,java,app-dev,devia delta,jetbrains_suite,chat,multiple,FALSE,na,0,10,create a survey template using intellij for github copilot workshop,ms-mfg-community,programming\java\ghc-survey-java.md,pfs-sql-01.postgres.database.azure.com,
44,100,programming,survey,java,app-dev,devia delta,vs_code,chat,multiple,FALSE,na,0,10,create a survey template using vs_code for github copilot workshop,ms-mfg-community,programming\java\ghc-survey-java.md,pfs-sql-01.postgres.database.azure.com,
45,100,programming,survey,java,app-dev,devia delta,visual_studio,chat,multiple,FALSE,na,0,10,create a survey template using visual_studio for github copilot workshop,ms-mfg-community,programming\java\ghc-survey-java.md,pfs-sql-01.postgres.database.azure.com,
46,100,programming,survey,dotnet,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,na,0,10,create a survey template using jetbrains rider for github copilot workshop,ms-mfg-community,programming\dotnet\csharp\ghc-survey-dotnet.md,pfs-sql-01.postgres.database.azure.com,
47,100,programming,survey,dotnet,app-dev,devia delta,visual_studio,chat,multiple,TRUE,na,0,10,create a survey template github copilot workshop,ms-mfg-community,programming\dotnet\csharp\ghc-survey-dotnet.md,pfs-sql-01.postgres.database.azure.com,
48,100,programming,survey,dotnet,app-dev,devia delta,vs_code,chat,multiple,TRUE,na,0,10,create a survey template for github copilot workshop,ms-mfg-community,programming\dotnet\csharp\ghc-survey-dotnet.md,pfs-sql-01.postgres.database.azure.com,
49,100,programming,survey,go,app-dev,devia delta,jetbrains_suite,chat,multiple,TRUE,na,0,10,create a survey template for github copilot workshop,ms-mfg-community,programming\go\ghc-survey-go.md,pfs-sql-01.postgres.database.azure.com,
50,100,programming,survey,go,app-dev,devia delta,visual_studio,chat,multiple,TRUE,na,0,10,create a survey template for github copilot workshop,ms-mfg-community,programming\go\ghc-survey-go.md,pfs-sql-01.postgres.database.azure.com,
51,100,programming,survey,go,app-dev,devia delta,vs_code,chat,multiple,TRUE,na,0,10,create a survey template  for github copilot workshop,ms-mfg-community,programming\go\ghc-survey-go.md,pfs-sql-01.postgres.database.azure.com,
52,100,programming,ai,python,app-dev,devia delta,vs_code,chat,multiple,FALSE,na,1,80,create an llm text-generation demo using the microsoft/Phi-3-mini-4k-instruct model,ms-mfg-community,programming\python\llm-python-ipnyb-joke.md,pfs-sql-01.postgres.database.azure.com,
